id,city,street,number,building,block,km,estate,additional,phone
SDEK_KSD93,Краснодар,Конгрессная улица,15,,,,,"
 Адрес от СДЭКА: ул. Конгрессная, 15, пом.80-82
 Инструкция от СДЭКА: Конгрессная",+7(995)3200595
SDEK_NSK171,Новосибирск,улица Громова,7,,,,,"
 Адрес от СДЭКА: ул. Громова, 7
 Инструкция от СДЭКА: Кинотеатр Рассвет",+7(800)7753553
SDEK_BOL2,село Большеустьикинское,улица Мира,18А,,,,,"
 Адрес от СДЭКА: ул. Мира, 18/1
 Инструкция от СДЭКА: остановка ""Вечный зов""",+7(961)0397770
SDEK_MAR2,Мариинск,улица Кольцова,17,,,,,"
 Адрес от СДЭКА: ул. Кольцова, 17
 Инструкция от СДЭКА: Гостиница",+7(996)0403208
SDEK_CHRK7,Черкесск,улица Демиденко,68,,,,,"
 Адрес от СДЭКА: ул. Демиденко, 68
 Инструкция от СДЭКА: Маяк",+7(800)7753553
SDEK_NSK147,Новосибирск,улица Кочубея,3/1,,,,,"
 Адрес от СДЭКА: ул. Кочубея, 3/1
 Инструкция от СДЭКА: Жилмассив Родники",+7(800)7753553
SDEK_MSK223,Москва,Бескудниковский бульвар,6,,4,,,"
 Адрес от СДЭКА: Бескудниковский б-р, 6 корп.4
 Инструкция от СДЭКА: Институт Цветметавтоматика",+7(929)5131674
SDEK_KEZ1,посёлок Кез,улица Кирова,10,,,,,"
 Адрес от СДЭКА: ул. Кирова, 10
 Инструкция от СДЭКА: Быстробанк",+7(982)8315545
SDEK_KAM7,Камызяк,Молодёжная улица,36,,,,,"
 Адрес от СДЭКА: ул. Молодежная, 36
 Инструкция от СДЭКА: Школа №4",+7(906)4595952
SDEK_MSK600,Москва,Щербаковская улица,41А,,,,,"
 Адрес от СДЭКА: ул. Щербаковская, 41А
 Инструкция от СДЭКА: ул. Ибрагимова",+7(926)5819634
SDEK_SNZH2,Сунжа,улица Осканова,18,,,,,"
 Адрес от СДЭКА: ул. Осканова, 20
 Инструкция от СДЭКА: ул. Осканова",+7(906)0066727
SDEK_SPB275,Санкт-Петербург,улица Латышских Стрелков,13,,1,,,"
 Адрес от СДЭКА: ул. Латышских стрелков, 13/1
 Инструкция от СДЭКА: ул.  Кржижановского",+7(800)7753553
SDEK_SAR18,Саратов,проспект Энтузиастов,33,,,,,"
 Адрес от СДЭКА: проспект Энтузиастов, 33
 Инструкция от СДЭКА: «4-ый Жилучасток» «»Ул. Кавказская (Школа №34)",+7(845)2538889
SDEK_SPB272,Санкт-Петербург,Ленинский проспект,104,,,,,"
 Адрес от СДЭКА: пр-т. Ленинский, 104
 Инструкция от СДЭКА: Морской технический университет",+7(800)7753553
SDEK_RZHV3,Ржев,Большая Спасская улица,29/64,,,,,"
 Адрес от СДЭКА: ул. Большая Спасская, 29/64
 Инструкция от СДЭКА: ул. Калинина",+7(900)0115141
SDEK_SCH61,село Весёлое,улица Мира,23,,,,,"
 Адрес от СДЭКА: ул. Мира, 23
 Инструкция от СДЭКА: Кафе Фаина",+7(906)7296665
SDEK_NN93,Нижний Новгород,Советская улица,12,,,,,"
 Адрес от СДЭКА: ул. Советская, 12
 Инструкция от СДЭКА: Площадь Ленина",+7(800)7753553
SDEK_SHUYA3,Шуя,улица Свердлова,61,,,,,"
 Адрес от СДЭКА: ул. Свердлова, 61
 Инструкция от СДЭКА: Ост «Строчевышивальная фабрика »",+7(901)0300232
SDEK_KRSH5,Кириши,улица Нефтехимиков,2,,,,,"
 Адрес от СДЭКА: ул. Нефтехимиков, 1
 Инструкция от СДЭКА: Детский сад",+7(800)7753553
SDEK_MSK491,Москва,улица Гримау,9,,2,,,"
 Адрес от СДЭКА: Гримау, 9, корп. 2
 Инструкция от СДЭКА: Кинотеатр Улан-Батор",+7(800)7753553
SDEK_YEKB110,Екатеринбург,улица Блюхера,32,,,,,"
 Адрес от СДЭКА: ул. Блюхера, 32
 Инструкция от СДЭКА: ТК Современник",+7(800)7753553
SDEK_YUSKH2,Южно-Сахалинск,улица Ленина,232,,,,,"
 Адрес от СДЭКА: ул.  Ленина, 232
 Инструкция от СДЭКА: Дома Быта",+7(424)2556350
SDEK_TLT24,Тольятти,улица Дзержинского,38А,,,,,"
 Адрес от СДЭКА: ул. Дзержинского, 38-А, Омега
 Инструкция от СДЭКА: Автостроителей",+7(905)0192920
SDEK_DMT7,Дмитров,Профессиональная улица,4,,,,,"
 Адрес от СДЭКА: ул. Профессиональная, 4
 Инструкция от СДЭКА: Фабрика Юность",+7(800)7753553
SDEK_ULN25,Ульяновск,Пионерская улица,13/18,,,,,"
 Адрес от СДЭКА: ул. Пионерская, 13/18
 Инструкция от СДЭКА: Стадион «Волга»",+7(842)2582248
SDEK_MSK393,Москва,Каширское шоссе,142,,1,,,"
 Адрес от СДЭКА: Каширское ш., 142, корп.1
 Инструкция от СДЭКА: 16-й автобусный парк",+7(800)7753553
SDEK_VRK3,Воркута,улица Ленина,52А,,,,,"
 Адрес от СДЭКА: ул. Ленина, 52А
 Инструкция от СДЭКА: Горный Техникум, ДТДиМ",+7(821)5191000
SDEK_ZHES3,Железноводск,улица Ленина,119А,,,,,"
 Адрес от СДЭКА: Ул. Ленина, 119А
 Инструкция от СДЭКА: Остановка магазин Магнит",+7(963)3760222
SDEK_MSK564,Москва,Варшавское шоссе,,,,,,"
 Адрес от СДЭКА: Варшавское шоссе, вл. 132/2
 Инструкция от СДЭКА: Южная",+7(968)5680352
SDEK_MAY13,Майкоп,Пионерская улица,273А,,,,,"
 Адрес от СДЭКА: ул. Пионерская, 273а
 Инструкция от СДЭКА: Магазин Магнит",+7(800)7753553
SDEK_LPTS19,Липецк,улица Фрунзе,34,,,,,"
 Адрес от СДЭКА: ул. Фрунзе, 34
 Инструкция от СДЭКА: Петровский рынок",+7(904)6935356
SDEK_MTN3,Москва,Ангелов переулок,8,,,,,"
 Адрес от СДЭКА: пер. Ангелов, 8
 Инструкция от СДЭКА: ул. Барышиха, 40",+7(926)4777115
SDEK_NAR1,Нариманов,Волгоградская улица,8,,,,,"
 Адрес от СДЭКА: ул. Волгоградская, 8
 Инструкция от СДЭКА: Автовокзал",+7(967)8384100
